equivalent variables
"[287, 359]"
"[288, 372]"
"[289, 385]"
[295]
"[296, 308]"
"[297, 321]"
"[298, 334]"
"[299, 347]"
"[300, 360]"
"[301, 373]"
"[302, 386]"
[309]
"[310, 322]"
"[311, 335]"
"[312, 348]"
"[313, 361]"
"[314, 374]"
"[315, 387]"
[323]
"[324, 336]"
"[325, 349]"
"[326, 362]"
"[327, 375]"
"[328, 388]"
[337]
"[338, 350]"
"[339, 363]"
"[340, 376]"
"[341, 389]"
[351]
"[352, 364]"
"[353, 377]"
"[354, 390]"
[365]
"[366, 378]"
"[367, 391]"
[379]
"[380, 392]"
[393]
"[394, 420]"
"[395, 421]"
"[396, 422]"
"[397, 423]"
"[398, 424]"
"[399, 425]"
"[400, 426]"
"[401, 427]"
"[402, 428]"
"[403, 429]"
"[404, 430]"
"[405, 431]"
"[406, 432]"
"[407, 433]"
"[408, 434]"
"[409, 435]"
"[410, 436]"
"[411, 437]"
"[412, 438]"
"[413, 439]"
"[414, 440]"
"[415, 441]"
"[416, 442]"
"[417, 443]"
"[418, 444]"
"[419, 445]"
[446]
"[447, 448]"
[449]
[0]
"[1, 15]"
"[2, 30]"
"[3, 45]"
"[4, 60]"
"[5, 75]"
"[6, 90]"
"[7, 105]"
"[8, 120]"
"[9, 135]"
"[10, 150]"
"[11, 165]"
"[12, 180]"
"[13, 195]"
"[14, 210]"
[16]
"[17, 31]"
"[18, 46]"
"[19, 61]"
"[20, 76]"
"[21, 91]"
"[22, 106]"
"[23, 121]"
"[24, 136]"
"[25, 151]"
"[26, 166]"
"[27, 181]"
"[28, 196]"
"[29, 211]"
[32]
"[33, 47]"
"[34, 62]"
"[35, 77]"
"[36, 92]"
"[37, 107]"
"[38, 122]"
"[39, 137]"
"[40, 152]"
"[41, 167]"
"[42, 182]"
"[43, 197]"
"[44, 212]"
[48]
"[49, 63]"
"[50, 78]"
"[51, 93]"
"[52, 108]"
"[53, 123]"
"[54, 138]"
"[55, 153]"
"[56, 168]"
"[57, 183]"
"[58, 198]"
"[59, 213]"
[64]
"[65, 79]"
"[66, 94]"
"[67, 109]"
"[68, 124]"
"[69, 139]"
"[70, 154]"
"[71, 169]"
"[72, 184]"
"[73, 199]"
"[74, 214]"
[80]
"[81, 95]"
"[82, 110]"
"[83, 125]"
"[84, 140]"
"[85, 155]"
"[86, 170]"
"[87, 185]"
"[88, 200]"
"[89, 215]"
[96]
"[97, 111]"
"[98, 126]"
"[99, 141]"
"[100, 156]"
"[101, 171]"
"[102, 186]"
"[103, 201]"
"[104, 216]"
[112]
"[113, 127]"
"[114, 142]"
"[115, 157]"
"[116, 172]"
"[117, 187]"
"[118, 202]"
"[119, 217]"
[128]
"[129, 143]"
"[130, 158]"
"[131, 173]"
"[132, 188]"
"[133, 203]"
"[134, 218]"
[144]
"[145, 159]"
"[146, 174]"
"[147, 189]"
"[148, 204]"
"[149, 219]"
[160]
"[161, 175]"
"[162, 190]"
"[163, 205]"
"[164, 220]"
[176]
"[177, 191]"
"[178, 206]"
"[179, 221]"
[192]
"[193, 207]"
"[194, 222]"
[208]
"[209, 223]"
[224]
[225]
"[226, 238]"
"[227, 251]"
"[228, 264]"
"[229, 277]"
"[230, 290]"
"[231, 303]"
"[232, 316]"
"[233, 329]"
"[234, 342]"
"[235, 355]"
"[236, 368]"
"[237, 381]"
[239]
"[240, 252]"
"[241, 265]"
"[242, 278]"
"[243, 291]"
"[244, 304]"
"[245, 317]"
"[246, 330]"
"[247, 343]"
"[248, 356]"
"[249, 369]"
"[250, 382]"
[253]
"[254, 266]"
"[255, 279]"
"[256, 292]"
"[257, 305]"
"[258, 318]"
"[259, 331]"
"[260, 344]"
"[261, 357]"
"[262, 370]"
"[263, 383]"
[267]
"[268, 280]"
"[269, 293]"
"[270, 306]"
"[271, 319]"
"[272, 332]"
"[273, 345]"
"[274, 358]"
"[275, 371]"
"[276, 384]"
[281]
"[282, 294]"
"[283, 307]"
"[284, 320]"
"[285, 333]"
"[286, 346]"
