equivalent variables
[0]
"[1, 9]"
"[2, 18]"
"[3, 27]"
"[4, 36]"
"[5, 45]"
"[6, 54]"
"[7, 63]"
"[8, 72]"
[10]
"[11, 19]"
"[12, 28]"
"[13, 37]"
"[14, 46]"
"[15, 55]"
"[16, 64]"
"[17, 73]"
[20]
"[21, 29]"
"[22, 38]"
"[23, 47]"
"[24, 56]"
"[25, 65]"
"[26, 74]"
[30]
"[31, 39]"
"[32, 48]"
"[33, 57]"
"[34, 66]"
"[35, 75]"
[40]
"[41, 49]"
"[42, 58]"
"[43, 67]"
"[44, 76]"
[50]
"[51, 59]"
"[52, 68]"
"[53, 77]"
[60]
"[61, 69]"
"[62, 78]"
[70]
"[71, 79]"
[80]
[81]
"[82, 88]"
"[83, 95]"
"[84, 102]"
"[85, 109]"
"[86, 116]"
"[87, 123]"
[89]
"[90, 96]"
"[91, 103]"
"[92, 110]"
"[93, 117]"
"[94, 124]"
[97]
"[98, 104]"
"[99, 111]"
"[100, 118]"
"[101, 125]"
[105]
"[106, 112]"
"[107, 119]"
"[108, 126]"
[113]
"[114, 120]"
"[115, 127]"
[121]
"[122, 128]"
[129]
"[130, 144]"
"[131, 145]"
"[132, 146]"
"[133, 147]"
"[134, 148]"
"[135, 149]"
"[136, 150]"
"[137, 151]"
"[138, 152]"
"[139, 153]"
"[140, 154]"
"[141, 155]"
"[142, 156]"
"[143, 157]"
[158]
"[159, 160]"
[161]
