equivalent variables
"[80, 95]"
"[81, 94]"
"[82, 93]"
"[83, 92]"
"[84, 91]"
"[85, 90]"
"[86, 89]"
"[87, 88]"
"[96, 111]"
"[97, 110]"
"[98, 109]"
"[99, 108]"
"[100, 107]"
"[101, 106]"
"[102, 105]"
"[103, 104]"
"[112, 127]"
"[113, 126]"
"[114, 125]"
"[115, 124]"
"[116, 123]"
"[117, 122]"
"[118, 121]"
"[119, 120]"
"[128, 143]"
"[129, 142]"
"[130, 141]"
"[131, 140]"
"[132, 139]"
"[133, 138]"
"[134, 137]"
"[135, 136]"
"[144, 159]"
"[145, 158]"
"[146, 157]"
"[147, 156]"
"[148, 155]"
"[149, 154]"
"[150, 153]"
"[151, 152]"
"[160, 175]"
"[161, 174]"
"[162, 173]"
"[163, 172]"
"[164, 171]"
"[165, 170]"
"[166, 169]"
"[167, 168]"
"[176, 191]"
"[177, 190]"
"[178, 189]"
"[179, 188]"
"[180, 187]"
"[181, 186]"
"[182, 185]"
"[183, 184]"
"[192, 207]"
"[193, 206]"
"[194, 205]"
"[195, 204]"
"[196, 203]"
"[197, 202]"
"[198, 201]"
"[199, 200]"
"[208, 223]"
"[209, 222]"
"[210, 221]"
"[211, 220]"
"[212, 219]"
"[213, 218]"
"[214, 217]"
"[215, 216]"
"[224, 239]"
"[225, 238]"
"[226, 237]"
"[227, 236]"
"[228, 235]"
"[229, 234]"
"[230, 233]"
"[231, 232]"
"[256, 344]"
"[257, 345]"
"[258, 346]"
"[259, 347]"
"[260, 348]"
"[261, 349]"
"[262, 350]"
"[263, 351]"
"[264, 336]"
"[265, 337]"
"[266, 338]"
"[267, 339]"
"[268, 340]"
"[269, 341]"
"[270, 342]"
"[271, 343]"
"[272, 328]"
"[273, 329]"
"[274, 330]"
"[275, 331]"
"[276, 332]"
"[277, 333]"
"[278, 334]"
"[279, 335]"
"[280, 320]"
"[281, 321]"
"[282, 322]"
"[283, 323]"
"[284, 324]"
"[285, 325]"
"[286, 326]"
"[287, 327]"
"[288, 312]"
"[289, 313]"
"[290, 314]"
"[291, 315]"
"[292, 316]"
"[293, 317]"
"[294, 318]"
"[295, 319]"
"[296, 304]"
"[297, 305]"
"[298, 306]"
"[299, 307]"
"[300, 308]"
"[301, 309]"
"[302, 310]"
"[303, 311]"
"[0, 15]"
"[1, 14]"
"[2, 13]"
"[3, 12]"
"[4, 11]"
"[5, 10]"
"[6, 9]"
"[7, 8]"
"[16, 31]"
"[17, 30]"
"[18, 29]"
"[19, 28]"
"[20, 27]"
"[21, 26]"
"[22, 25]"
"[23, 24]"
"[32, 47, 240, 255]"
"[33, 46, 241, 254]"
"[34, 45, 242, 253]"
"[35, 44, 243, 252]"
"[36, 43, 244, 251]"
"[37, 42, 245, 250]"
"[38, 41, 246, 249]"
"[39, 40, 247, 248]"
"[48, 63]"
"[49, 62]"
"[50, 61]"
"[51, 60]"
"[52, 59]"
"[53, 58]"
"[54, 57]"
"[55, 56]"
"[64, 79]"
"[65, 78]"
"[66, 77]"
"[67, 76]"
"[68, 75]"
"[69, 74]"
"[70, 73]"
"[71, 72]"
