equivalent variables
[0]
[1]
[2]
[3]
[4]
[5]
[6]
[7]
[8]
[9]
[10]
[11]
[12]
[13]
[14]
[15]
[16]
[17]
[18]
[19]
[20]
[21]
[22]
[23]
[24]
[25]
[26]
[27]
[28]
[29]
[30]
[31]
[32]
[33]
[34]
[35]
[36]
[37]
[38]
[39]
[40]
[41]
[42]
[43]
[44]
[45]
[46]
[47]
[48]
[49]
[50]
[51]
[52]
[53]
[54]
[55]
[56]
[57]
[58]
[59]
[60]
"[61, 71]"
"[62, 72]"
"[63, 73]"
"[64, 74]"
"[65, 75]"
"[66, 76]"
"[67, 77]"
"[68, 78]"
"[69, 79]"
"[70, 80]"
"[81, 91]"
"[82, 92]"
"[83, 93]"
"[84, 94]"
"[85, 95]"
"[86, 96]"
"[87, 97]"
"[88, 98]"
"[89, 99]"
"[90, 100]"
"[101, 111]"
"[102, 112]"
"[103, 113]"
"[104, 114]"
"[105, 115]"
"[106, 116]"
"[107, 117]"
"[108, 118]"
"[109, 119]"
"[110, 120]"
"[121, 211]"
"[122, 212]"
"[123, 213]"
"[124, 214]"
"[125, 215]"
"[126, 216]"
"[127, 217]"
"[128, 218]"
"[129, 219]"
"[130, 220]"
"[131, 221]"
"[132, 222]"
"[133, 223]"
"[134, 224]"
"[135, 225]"
"[136, 226]"
"[137, 227]"
"[138, 228]"
"[139, 229]"
"[140, 230]"
"[141, 231]"
"[142, 232]"
"[143, 233]"
"[144, 234]"
"[145, 235]"
"[146, 236]"
"[147, 237]"
"[148, 238]"
"[149, 239]"
"[150, 240]"
"[151, 241]"
"[152, 242]"
"[153, 243]"
"[154, 244]"
"[155, 245]"
"[156, 246]"
"[157, 247]"
"[158, 248]"
"[159, 249]"
"[160, 250]"
"[161, 251]"
"[162, 252]"
"[163, 253]"
"[164, 254]"
"[165, 255]"
"[166, 256]"
"[167, 257]"
"[168, 258]"
"[169, 259]"
"[170, 260]"
"[171, 261]"
"[172, 262]"
"[173, 263]"
"[174, 264]"
"[175, 265]"
"[176, 266]"
"[177, 267]"
"[178, 268]"
"[179, 269]"
"[180, 270]"
"[181, 271]"
"[182, 272]"
"[183, 273]"
"[184, 274]"
"[185, 275]"
"[186, 276]"
"[187, 277]"
"[188, 278]"
"[189, 279]"
"[190, 280]"
"[191, 281]"
"[192, 282]"
"[193, 283]"
"[194, 284]"
"[195, 285]"
"[196, 286]"
"[197, 287]"
"[198, 288]"
"[199, 289]"
"[200, 290]"
"[201, 291]"
"[202, 292]"
"[203, 293]"
"[204, 294]"
"[205, 295]"
"[206, 296]"
"[207, 297]"
"[208, 298]"
"[209, 299]"
"[210, 300]"
"[301, 391]"
"[302, 392]"
"[303, 393]"
"[304, 394]"
"[305, 395]"
"[306, 396]"
"[307, 397]"
"[308, 398]"
"[309, 399]"
"[310, 400]"
"[311, 401]"
"[312, 402]"
"[313, 403]"
"[314, 404]"
"[315, 405]"
"[316, 406]"
"[317, 407]"
"[318, 408]"
"[319, 409]"
"[320, 410]"
"[321, 411]"
"[322, 412]"
"[323, 413]"
"[324, 414]"
"[325, 415]"
"[326, 416]"
"[327, 417]"
"[328, 418]"
"[329, 419]"
"[330, 420]"
"[331, 421]"
"[332, 422]"
"[333, 423]"
"[334, 424]"
"[335, 425]"
"[336, 426]"
"[337, 427]"
"[338, 428]"
"[339, 429]"
"[340, 430]"
"[341, 431]"
"[342, 432]"
"[343, 433]"
"[344, 434]"
"[345, 435]"
"[346, 436]"
"[347, 437]"
"[348, 438]"
"[349, 439]"
"[350, 440]"
"[351, 441]"
"[352, 442]"
"[353, 443]"
"[354, 444]"
"[355, 445]"
"[356, 446]"
"[357, 447]"
"[358, 448]"
"[359, 449]"
"[360, 450]"
"[361, 451]"
"[362, 452]"
"[363, 453]"
"[364, 454]"
"[365, 455]"
"[366, 456]"
"[367, 457]"
"[368, 458]"
"[369, 459]"
"[370, 460]"
"[371, 461]"
"[372, 462]"
"[373, 463]"
"[374, 464]"
"[375, 465]"
"[376, 466]"
"[377, 467]"
"[378, 468]"
"[379, 469]"
"[380, 470]"
"[381, 471]"
"[382, 472]"
"[383, 473]"
"[384, 474]"
"[385, 475]"
"[386, 476]"
"[387, 477]"
"[388, 478]"
"[389, 479]"
"[390, 480]"
"[481, 571]"
"[482, 572]"
"[483, 573]"
"[484, 574]"
"[485, 575]"
"[486, 576]"
"[487, 577]"
"[488, 578]"
"[489, 579]"
"[490, 580]"
"[491, 581]"
"[492, 582]"
"[493, 583]"
"[494, 584]"
"[495, 585]"
"[496, 586]"
"[497, 587]"
"[498, 588]"
"[499, 589]"
"[500, 590]"
"[501, 591]"
"[502, 592]"
"[503, 593]"
"[504, 594]"
"[505, 595]"
"[506, 596]"
"[507, 597]"
"[508, 598]"
"[509, 599]"
"[510, 600]"
"[511, 601]"
"[512, 602]"
"[513, 603]"
"[514, 604]"
"[515, 605]"
"[516, 606]"
"[517, 607]"
"[518, 608]"
"[519, 609]"
"[520, 610]"
"[521, 611]"
"[522, 612]"
"[523, 613]"
"[524, 614]"
"[525, 615]"
"[526, 616]"
"[527, 617]"
"[528, 618]"
"[529, 619]"
"[530, 620]"
"[531, 621]"
"[532, 622]"
"[533, 623]"
"[534, 624]"
"[535, 625]"
"[536, 626]"
"[537, 627]"
"[538, 628]"
"[539, 629]"
"[540, 630]"
"[541, 631]"
"[542, 632]"
"[543, 633]"
"[544, 634]"
"[545, 635]"
"[546, 636]"
"[547, 637]"
"[548, 638]"
"[549, 639]"
"[550, 640]"
"[551, 641]"
"[552, 642]"
"[553, 643]"
"[554, 644]"
"[555, 645]"
"[556, 646]"
"[557, 647]"
"[558, 648]"
"[559, 649]"
"[560, 650]"
"[561, 651]"
"[562, 652]"
"[563, 653]"
"[564, 654]"
"[565, 655]"
"[566, 656]"
"[567, 657]"
"[568, 658]"
"[569, 659]"
"[570, 660]"
