equivalent variables
"[8048, 8056, 8067, 8075]"
"[8049, 8058, 8065, 8074]"
"[8050, 8060, 8063, 8073]"
"[8051, 8061, 8062, 8072]"
"[8052, 8059, 8064, 8071]"
"[8053, 8057, 8066, 8070]"
"[8054, 8055, 8068, 8069]"
"[8076, 8103, 8245, 8270]"
"[8077, 8100, 8246, 8271]"
"[8078, 8101, 8247, 8268]"
"[8079, 8102, 8244, 8269]"
"[8080, 8131, 8217, 8266]"
"[8081, 8128, 8218, 8267]"
"[8082, 8129, 8219, 8264]"
"[8083, 8130, 8216, 8265]"
"[8084, 8159, 8189, 8262]"
"[8085, 8156, 8190, 8263]"
"[8086, 8157, 8191, 8260]"
"[8087, 8158, 8188, 8261]"
"[8088, 8161, 8187, 8258]"
"[8089, 8162, 8184, 8259]"
"[8090, 8163, 8185, 8256]"
"[8091, 8160, 8186, 8257]"
"[8092, 8133, 8215, 8254]"
"[8093, 8134, 8212, 8255]"
"[8094, 8135, 8213, 8252]"
"[8095, 8132, 8214, 8253]"
"[8096, 8105, 8243, 8250]"
"[8097, 8106, 8240, 8251]"
"[8098, 8107, 8241, 8248]"
"[8099, 8104, 8242, 8249]"
"[8108, 8127, 8221, 8238]"
"[8109, 8124, 8222, 8239]"
"[8110, 8125, 8223, 8236]"
"[8111, 8126, 8220, 8237]"
"[8112, 8155, 8193, 8234]"
"[8113, 8152, 8194, 8235]"
"[8114, 8153, 8195, 8232]"
"[8115, 8154, 8192, 8233]"
"[8116, 8165, 8183, 8230]"
"[8117, 8166, 8180, 8231]"
"[8118, 8167, 8181, 8228]"
"[8119, 8164, 8182, 8229]"
"[8120, 8137, 8211, 8226]"
"[8121, 8138, 8208, 8227]"
"[8122, 8139, 8209, 8224]"
"[8123, 8136, 8210, 8225]"
"[8140, 8151, 8197, 8206]"
"[8141, 8148, 8198, 8207]"
"[8142, 8149, 8199, 8204]"
"[8143, 8150, 8196, 8205]"
"[8144, 8169, 8179, 8202]"
"[8145, 8170, 8176, 8203]"
"[8146, 8171, 8177, 8200]"
"[8147, 8168, 8178, 8201]"
"[8172, 8173, 8174, 8175]"
"[0, 27, 169, 194]"
"[1, 24, 170, 195]"
"[2, 25, 171, 192]"
"[3, 26, 168, 193]"
"[4, 55, 141, 190]"
"[5, 52, 142, 191]"
"[6, 53, 143, 188]"
"[7, 54, 140, 189]"
"[8, 83, 113, 186]"
"[9, 80, 114, 187]"
"[10, 81, 115, 184]"
"[11, 82, 112, 185]"
"[12, 85, 111, 182]"
"[13, 86, 108, 183]"
"[14, 87, 109, 180]"
"[15, 84, 110, 181]"
"[16, 57, 139, 178]"
"[17, 58, 136, 179]"
"[18, 59, 137, 176]"
"[19, 56, 138, 177]"
"[20, 29, 167, 174]"
"[21, 30, 164, 175]"
"[22, 31, 165, 172]"
"[23, 28, 166, 173]"
"[32, 51, 145, 162]"
"[33, 48, 146, 163]"
"[34, 49, 147, 160]"
"[35, 50, 144, 161]"
"[36, 79, 117, 158]"
"[37, 76, 118, 159]"
"[38, 77, 119, 156]"
"[39, 78, 116, 157]"
"[40, 89, 107, 154]"
"[41, 90, 104, 155]"
"[42, 91, 105, 152]"
"[43, 88, 106, 153]"
"[44, 61, 135, 150]"
"[45, 62, 132, 151]"
