equivalent variables
"[0, 40]"
"[1, 41]"
"[2, 42]"
"[3, 43]"
"[4, 44]"
"[5, 45]"
"[6, 46]"
"[7, 47]"
"[8, 48]"
"[9, 49]"
"[10, 50]"
"[11, 51]"
"[12, 52]"
"[13, 53]"
"[14, 54]"
"[15, 55]"
"[16, 56]"
"[17, 57]"
"[18, 58]"
"[19, 59]"
"[20, 60]"
"[21, 61]"
"[22, 62]"
"[23, 63]"
"[24, 64]"
"[25, 65]"
"[26, 66]"
"[27, 67]"
"[28, 68]"
"[29, 69]"
"[30, 70]"
"[31, 71]"
"[32, 72]"
"[33, 73]"
"[34, 74]"
"[35, 75]"
"[36, 76]"
"[37, 77]"
"[38, 78]"
"[39, 79]"
"[80, 120]"
"[81, 121]"
"[82, 122]"
"[83, 123]"
"[84, 124]"
"[85, 125]"
"[86, 126]"
"[87, 127]"
"[88, 128]"
"[89, 129]"
"[90, 130]"
"[91, 131]"
"[92, 132]"
"[93, 133]"
"[94, 134]"
"[95, 135]"
"[96, 136]"
"[97, 137]"
"[98, 138]"
"[99, 139]"
"[100, 140]"
"[101, 141]"
"[102, 142]"
"[103, 143]"
"[104, 144]"
"[105, 145]"
"[106, 146]"
"[107, 147]"
"[108, 148]"
"[109, 149]"
"[110, 150]"
"[111, 151]"
"[112, 152]"
"[113, 153]"
"[114, 154]"
"[115, 155]"
"[116, 156]"
"[117, 157]"
"[118, 158]"
"[119, 159]"
